,from,to,distance
0,Diana Shipping,HOWDEN,2.265509404818966
1,Diana Shipping,Interamerican,2.265509404818966
2,Diana Shipping,IT CAFE,2.2716118051018386
3,Diana Shipping,Mc Donald's,2.6743656686569164
4,Diana Shipping,National Energy,2.265509404818966
5,Diana Shipping,Public,1.4578279163249714
6,Diana Shipping,Qualco,1.774899056281902
7,Diana Shipping,Socialdoo,1.469556121105292
8,Diana Shipping,Optima Bank AE,1.4284991782494147
9,Diana Shipping,Motodynamics,2.0252965594354997
10,Diana Shipping,PEPSICO,1.732077524036078
11,Diana Shipping,ΥΠΕΡΤΑΜΕΙΟ ,1.7698962860357623
12,Diana Shipping,PWC ,1.4171799146301152
13,Diana Shipping,DELOITTE,1.5354392603290794
14,Diana Shipping,Johnson & Johnson,2.036587687468575
15,Diana Shipping,Nespresso,2.2720583960522016
16,Diana Shipping,STOP,2.4782876277330517
17,Diana Shipping,Everest,3.187730282673128
18,Diana Shipping,Intersalonica,2.6724351378049787
19,HOWDEN,Diana Shipping,2.265509404818966
20,HOWDEN,Interamerican,2.0
21,HOWDEN,IT CAFE,2.00047024695217
22,HOWDEN,Mc Donald's,2.449748134590374
23,HOWDEN,National Energy,1.4142135623730951
24,HOWDEN,Public,2.23609090773802
25,HOWDEN,Qualco,2.4497232797955983
26,HOWDEN,Socialdoo,2.2363488567173224
27,HOWDEN,Optima Bank AE,1.7396598908440606
28,HOWDEN,Motodynamics,2.245011312475312
29,HOWDEN,PEPSICO,2.4749991705225853
30,HOWDEN,ΥΠΕΡΤΑΜΕΙΟ ,2.0
31,HOWDEN,PWC ,2.282029585479067
32,HOWDEN,DELOITTE,2.4342334952714957
33,HOWDEN,Johnson & Johnson,2.236159697041911
34,HOWDEN,Nespresso,2.0005167024022295
35,HOWDEN,STOP,1.7320970615794757
36,HOWDEN,Everest,3.000240336471445
37,HOWDEN,Intersalonica,1.4142702113571701
38,Interamerican,Diana Shipping,2.265509404818966
39,Interamerican,HOWDEN,2.0
40,Interamerican,IT CAFE,2.4498737128555983
41,Interamerican,Mc Donald's,2.0003164556962023
42,Interamerican,National Energy,2.449489742783178
43,Interamerican,Public,2.23609090773802
44,Interamerican,Qualco,2.000286016441775
45,Interamerican,Socialdoo,2.2363488567173224
46,Interamerican,Optima Bank AE,1.7396598908440606
47,Interamerican,Motodynamics,2.245011312475312
48,Interamerican,PEPSICO,2.03116244896549
49,Interamerican,ΥΠΕΡΤΑΜΕΙΟ ,1.4142135623730951
50,Interamerican,PWC ,2.282029585479067
51,Interamerican,DELOITTE,2.4342334952714957
52,Interamerican,Johnson & Johnson,2.236159697041911
53,Interamerican,Nespresso,2.0005167024022295
54,Interamerican,STOP,2.236103805893692
55,Interamerican,Everest,3.000240336471445
56,Interamerican,Intersalonica,1.4142702113571701
57,IT CAFE,Diana Shipping,2.2716118051018386
58,IT CAFE,HOWDEN,2.00047024695217
59,IT CAFE,Interamerican,2.4498737128555983
60,IT CAFE,Mc Donald's,2.00002563675285
61,IT CAFE,National Energy,2.00047024695217
62,IT CAFE,Public,1.73283051401169
63,IT CAFE,Qualco,2.4495224495260817
64,IT CAFE,Socialdoo,2.2362077273813363
65,IT CAFE,Optima Bank AE,2.244954114302666
66,IT CAFE,Motodynamics,1.7435877395232506
67,IT CAFE,PEPSICO,2.037799372324434
68,IT CAFE,ΥΠΕΡΤΑΜΕΙΟ ,2.4498737128555983
69,IT CAFE,PWC ,2.2895070983871473
70,IT CAFE,DELOITTE,2.4485849215598074
71,IT CAFE,Johnson & Johnson,2.2362593168625247
72,IT CAFE,Nespresso,1.4142158283760262
73,IT CAFE,STOP,1.0005719102455877
74,IT CAFE,Everest,2.2250014402757787
75,IT CAFE,Intersalonica,2.000286016441775
76,Mc Donald's,Diana Shipping,2.6743656686569164
77,Mc Donald's,HOWDEN,2.449748134590374
78,Mc Donald's,Interamerican,2.0003164556962023
79,Mc Donald's,IT CAFE,2.00002563675285
80,Mc Donald's,National Energy,2.449748134590374
81,Mc Donald's,Public,2.236488589047768
82,Mc Donald's,Qualco,2.4494910510612793
83,Mc Donald's,Socialdoo,2.645888801077748
84,Mc Donald's,Optima Bank AE,2.6525293418073956
85,Mc Donald's,Motodynamics,2.2444406884936834
86,Mc Donald's,PEPSICO,2.0358862097447887
87,Mc Donald's,ΥΠΕΡΤΑΜΕΙΟ ,2.449748134590374
88,Mc Donald's,PWC ,2.2873561544664227
89,Mc Donald's,DELOITTE,2.444477198714697
90,Mc Donald's,Johnson & Johnson,2.2362134596046865
91,Mc Donald's,Nespresso,1.4142702113571701
92,Mc Donald's,STOP,1.7322774693253544
93,Mc Donald's,Everest,2.2250360066147814
94,Mc Donald's,Intersalonica,2.0001962980498327
95,National Energy,Diana Shipping,2.265509404818966
96,National Energy,HOWDEN,1.4142135623730951
97,National Energy,Interamerican,2.449489742783178
98,National Energy,IT CAFE,2.00047024695217
99,National Energy,Mc Donald's,2.449748134590374
100,National Energy,Public,2.23609090773802
101,National Energy,Qualco,2.4497232797955983
102,National Energy,Socialdoo,2.2363488567173224
103,National Energy,Optima Bank AE,2.241967113008478
104,National Energy,Motodynamics,2.245011312475312
105,National Energy,PEPSICO,2.4749991705225853
106,National Energy,ΥΠΕΡΤΑΜΕΙΟ ,2.449489742783178
107,National Energy,PWC ,2.282029585479067
108,National Energy,DELOITTE,2.4342334952714957
109,National Energy,Johnson & Johnson,2.236159697041911
110,National Energy,Nespresso,2.0005167024022295
111,National Energy,STOP,1.7320970615794757
112,National Energy,Everest,3.000240336471445
113,National Energy,Intersalonica,2.0000400572819172
114,Public,Diana Shipping,1.4578279163249714
115,Public,HOWDEN,2.23609090773802
116,Public,Interamerican,2.23609090773802
117,Public,IT CAFE,1.73283051401169
118,Public,Mc Donald's,2.236488589047768
119,Public,National Energy,2.23609090773802
